"graph_id","ec_class","node_count","edge_count","radius","diameter","mean_eigen_cent"
1,"6",37,168,6,12,0.323953240289596
2,"6",23,102,4,8,0.500625860449984
3,"6",25,92,6,11,0.292044990989451
4,"6",24,90,6,12,0.394723946659438
5,"6",23,90,5,9,0.388649180734622
6,"6",24,92,5,10,0.527557431636085
7,"6",26,118,4,8,0.343799034431391
8,"6",88,266,11,21,0.11256818391587
9,"6",23,78,7,13,0.296115506073388
10,"6",32,106,10,19,0.38062801231451
11,"6",4,12,1,1,1
12,"6",14,56,3,5,0.481042134933821
13,"6",42,150,12,23,0.20688070812328
14,"6",41,146,12,23,0.211878523092468
15,"6",36,128,10,19,0.351913580837635
16,"6",55,194,6,11,0.239606779326877
17,"6",40,190,5,10,0.324171722116907
18,"6",38,182,5,10,0.344356523321745
19,"6",2,2,1,1,1
20,"6",35,140,8,15,0.278587410583738
21,"6",42,180,8,15,0.311044941547759
22,"6",41,180,8,15,0.318580511914368
23,"6",39,162,8,15,0.374530844930439
24,"6",42,184,7,14,0.311941089424899
25,"6",41,176,7,14,0.326486279449905
26,"6",40,170,8,15,0.325311968167479
27,"6",37,166,8,15,0.30769995353532
28,"6",23,98,4,7,0.62975421752819
29,"6",22,94,4,8,0.569265500733491
30,"6",34,132,8,16,0.21230893192958
31,"6",38,162,6,11,0.433609584164388
32,"6",38,158,5,10,0.352399793965878
33,"6",39,164,6,12,0.450840617227562
34,"6",8,28,2,3,0.749627424516432
35,"6",23,88,6,11,0.363848432498097
36,"6",42,162,7,14,0.185986092518767
37,"6",42,160,7,14,0.217997794049216
38,"6",100,32,1,2,0.0341996817300415
39,"6",24,86,6,11,0.286202399914331
40,"6",24,100,4,8,0.421321809886942
41,"6",47,190,7,14,0.347218823903862
42,"6",45,194,8,16,0.318326352027503
43,"6",45,190,8,16,0.309604017660656
44,"6",45,190,8,16,0.309604017660655
45,"6",46,194,8,16,0.292311845509515
46,"6",44,190,8,15,0.249950738704723
47,"6",30,102,9,17,0.371382680649774
48,"6",32,114,8,16,0.205695935034409
49,"6",33,128,8,16,0.233850297553169
50,"6",9,30,2,4,0.693626743013254
51,"6",27,94,4,7,0.304965211919084
52,"6",39,170,2,9,0.280416178611832
53,"6",16,62,3,6,0.479924086270497
54,"6",18,62,4,7,0.443222917654367
55,"6",7,24,1,2,0.663678758723513
56,"6",18,74,4,7,0.534864633636986
57,"6",10,36,2,4,0.682034753692883
58,"6",21,100,4,7,0.459999240345706
59,"6",18,64,3,6,0.497318702499963
60,"6",10,36,2,4,0.682034753692883
61,"6",9,32,2,4,0.666666666666667
62,"6",39,140,11,21,0.293208566242673
63,"6",33,110,10,19,0.214811795281443
64,"6",29,98,8,16,0.185465519020919
65,"6",24,78,7,13,0.224543326738011
66,"6",25,86,7,13,0.302294954161688
67,"6",30,108,8,16,0.367090709206161
68,"6",38,150,7,14,0.481703462439419
69,"6",28,110,6,11,0.280142979524768
70,"6",28,108,7,14,0.341852525956536
71,"6",38,176,5,10,0.301725263965769
72,"6",40,140,11,22,0.227751382955782
73,"6",40,174,8,15,0.320025697297068
74,"6",42,188,8,16,0.356817395251413
75,"6",20,72,5,10,0.318156095274421
76,"6",19,70,5,9,0.335319587151017
77,"6",16,56,4,8,0.625113005988798
78,"6",17,58,5,9,0.51475313946033
79,"6",20,80,4,8,0.475222958460061
80,"6",18,64,4,8,0.592599853826587
81,"6",33,138,6,11,0.292878110878904
82,"6",23,88,6,11,0.420567287014539
83,"6",23,84,6,11,0.337204978541172
84,"6",35,148,8,15,0.345287934042704
85,"6",33,136,8,15,0.365560317991849
86,"6",39,138,10,19,0.202589839447103
87,"6",40,146,10,19,0.227756674803006
88,"6",38,182,5,10,0.382757555555764
89,"6",40,188,7,13,0.308172966550402
90,"6",38,132,11,21,0.278823405975075
91,"6",37,158,8,15,0.305460204557182
92,"6",36,154,7,14,0.315344117987011
93,"6",34,112,10,19,0.160829091215375
94,"6",34,134,7,14,0.40705810069457
95,"6",32,128,7,13,0.480986706309755
96,"6",18,64,4,8,0.507824246498492
97,"6",32,130,3,6,0.232498436987336
98,"6",34,134,6,11,0.379332503626809
99,"6",30,116,5,10,0.383088508891334
100,"6",5,18,1,2,0.929150262212918
101,"5",45,176,8,15,0.230725875825449
102,"5",42,164,7,14,0.351504944658217
103,"5",59,230,7,13,0.154537147637582
104,"5",32,128,6,11,0.54146541767297
105,"5",33,138,6,12,0.350136893383849
106,"5",17,60,4,8,0.381698245937573
107,"5",39,166,7,14,0.224033728633167
108,"5",38,164,8,15,0.208581190686173
109,"5",35,140,7,14,0.251340266031248
110,"5",16,58,4,8,0.368447424343771
111,"5",26,98,6,12,0.350928825094459
112,"5",51,190,8,15,0.232355384979486
113,"5",52,196,8,16,0.185827154651058
114,"5",25,94,6,12,0.327946564587681
115,"5",27,102,6,12,0.335959284777272
116,"5",42,148,12,24,0.162573417296693
117,"5",46,180,8,15,0.194408084764052
118,"5",96,242,10,18,0.234335575132701
119,"5",12,44,3,5,0.554970797781476
120,"5",22,92,3,6,0.416503751357785
121,"5",42,164,3,7,0.178400411987005
122,"5",14,58,3,5,0.467629682199623
123,"5",90,254,9,12,0.103507248132389
124,"5",14,62,3,5,0.537058104246092
125,"5",14,66,2,3,0.671805731097296
126,"5",32,94,5,9,0.331088217912652
127,"5",11,46,2,4,0.755959194190153
128,"5",26,74,5,9,0.349539990197596
129,"5",11,40,2,4,0.654920635866161
130,"5",14,50,1,4,0.493182464465639
131,"5",18,70,4,8,0.608279824055916
132,"5",16,64,3,6,0.689966946776226
133,"5",17,68,4,8,0.458185736598386
134,"5",32,102,5,9,0.42281405875061
135,"5",13,52,2,4,0.556841088361561
136,"5",3,6,1,1,1
137,"5",22,80,5,9,0.317438572202502
138,"5",16,72,3,5,0.560763571209736
139,"5",38,164,6,12,0.2995711551744
140,"5",13,56,2,4,0.674440007242238
141,"5",12,48,2,4,0.557574086287521
142,"5",14,58,2,4,0.706088674511824
143,"5",39,122,5,10,0.35112091054789
144,"5",19,70,4,8,0.546997013387056
145,"5",20,78,5,9,0.452361342472087
146,"5",39,174,5,8,0.311692635330614
147,"5",40,168,5,8,0.389520380317542
148,"5",39,160,5,8,0.359635575028905
149,"5",39,164,5,8,0.370419962510574
150,"5",29,82,6,12,0.317952084598066
151,"5",22,80,4,7,0.359935606806139
152,"5",11,44,2,3,0.668173657839356
153,"5",8,32,2,2,0.717650551961215
154,"5",13,44,1,4,0.568288865412245
155,"5",18,66,3,5,0.430609329092845
156,"5",12,44,2,4,0.636709566856056
157,"5",8,30,2,3,0.771570596980424
158,"5",40,126,8,14,0.323631369947147
159,"5",12,50,2,4,0.578180241288827
160,"5",22,96,4,7,0.392673363737254
161,"5",22,84,4,7,0.42219168613528
162,"5",18,64,4,8,0.404530505908974
163,"5",12,44,3,5,0.732320381054137
164,"5",17,72,3,5,0.453825506492438
165,"5",14,52,3,6,0.595875929827669
166,"5",22,72,7,13,0.234781256022264
167,"5",43,188,4,7,0.301883828479994
168,"5",42,168,7,14,0.391818721387921
169,"5",44,188,5,10,0.383516311742033
170,"5",24,82,6,12,0.364194618925868
171,"5",48,198,7,14,0.172311946446472
172,"5",25,92,6,11,0.493629912129999
173,"5",46,192,5,10,0.35078979285593
174,"5",48,196,7,14,0.208108664057357
175,"5",25,86,6,12,0.234413136728138
176,"5",48,192,7,13,0.326319161821467
177,"5",44,192,5,10,0.393739102698361
178,"5",42,176,5,9,0.367542377328194
179,"5",40,118,2,14,0.217450644364275
180,"5",38,120,7,14,0.232584130246062
181,"5",40,162,7,13,0.306379338990949
182,"5",41,172,6,11,0.531598972533483
183,"5",42,188,5,9,0.415513918831049
184,"5",40,182,5,9,0.4299966701113
185,"5",44,190,5,9,0.379997911573125
186,"5",24,80,5,9,0.432276610640431
187,"5",44,188,5,10,0.36204934470666
188,"5",20,78,4,8,0.434091778596596
189,"5",42,190,6,11,0.435942095393114
190,"5",27,98,7,13,0.24665548725927
191,"5",48,192,7,13,0.286159710064944
192,"5",31,132,6,12,0.34949970380782
193,"5",30,120,7,14,0.249097368074574
194,"5",46,200,6,11,0.431234145189839
195,"5",47,184,9,17,0.300264145831187
196,"5",50,172,5,10,0.181729756239951
197,"5",40,154,9,17,0.264300144000174
198,"5",55,154,7,13,0.246132069167472
199,"5",62,216,13,26,0.167718266442648
200,"5",34,144,7,13,0.318285214987324
201,"1",29,106,7,13,0.258252509906274
202,"1",25,90,6,12,0.39266033123988
203,"1",56,200,6,11,0.18862232709426
204,"1",57,210,7,13,0.183002350749217
205,"1",27,122,4,7,0.618513040014316
206,"1",22,86,4,7,0.680482214667599
207,"1",24,86,6,12,0.488675966344887
208,"1",23,100,4,8,0.48910878078808
209,"1",57,202,6,11,0.176761900466524
210,"1",24,100,5,9,0.50075446070073
211,"1",24,100,5,9,0.441851325733537
212,"1",23,94,4,8,0.407029442765841
213,"1",25,110,4,7,0.421909100145314
214,"1",23,102,4,7,0.449594535039156
215,"1",48,208,5,10,0.361307602091834
216,"1",27,94,7,14,0.316588709716187
217,"1",15,68,3,5,0.693342672131632
218,"1",44,194,7,13,0.446980139914042
219,"1",29,128,6,12,0.35088727154565
220,"1",21,82,5,10,0.323372102659169
221,"1",34,126,7,13,0.276087646210076
222,"1",30,114,5,9,0.422741831728538
223,"1",40,158,8,16,0.295248314340909
224,"1",54,210,6,9,0.314456938385268
225,"1",18,70,4,7,0.463944157757902
226,"1",36,148,5,9,0.406298543113893
227,"1",37,162,5,9,0.364332307323033
228,"1",34,152,5,9,0.363759534968729
229,"1",23,100,4,7,0.520241531264335
230,"1",32,136,6,12,0.35854755776416
231,"1",33,152,5,10,0.44125367385932
232,"1",29,130,5,10,0.486655209573543
233,"1",39,142,6,12,0.202957634634065
234,"1",34,140,6,12,0.362159965763906
235,"1",36,142,7,13,0.360975221690776
236,"1",21,70,2,5,0.321327437204607
237,"1",6,22,1,2,0.804737854124365
238,"1",22,100,3,6,0.530053489828964
239,"1",18,80,3,5,0.491865768916927
240,"1",18,82,3,5,0.502469089721395
241,"1",34,128,7,14,0.303895391467773
242,"1",32,122,7,13,0.471913406967928
243,"1",33,124,7,14,0.353558745792477
244,"1",28,124,5,9,0.471171630423039
245,"1",40,176,8,15,0.533977162473003
246,"1",42,152,11,22,0.226495774645095
247,"1",39,116,5,9,0.185478051130938
248,"1",28,96,6,12,0.364341286388214
249,"1",29,104,6,12,0.407183059080407
250,"1",30,134,4,6,0.386290026249041
251,"1",14,52,3,6,0.516686272287571
252,"1",32,120,7,14,0.442576731860073
253,"1",35,132,6,10,0.224685943677911
254,"1",24,80,3,6,0.36950105554139
255,"1",17,60,4,8,0.449032015592736
256,"1",18,66,4,8,0.395653685237324
257,"1",16,58,4,8,0.663647168618708
258,"1",19,72,5,9,0.39529472635228
259,"1",19,70,5,9,0.338614531935132
260,"1",21,84,5,9,0.410557832142019
261,"1",23,104,4,8,0.493845603953086
262,"1",25,102,5,10,0.443487796936536
263,"1",27,120,6,11,0.371969394232005
264,"1",24,96,5,10,0.620214503885663
265,"1",24,98,5,10,0.47712206178484
266,"1",32,122,8,16,0.20363730421516
267,"1",31,118,8,15,0.220317775943844
268,"1",33,142,7,13,0.297347879729793
269,"1",34,146,7,14,0.280706502952365
270,"1",32,120,7,14,0.433812824567313
271,"1",32,140,6,11,0.488727376312218
272,"1",44,156,9,17,0.168600300766317
273,"1",40,168,8,16,0.155382116529481
274,"1",40,146,7,13,0.302599109184535
275,"1",38,122,2,11,0.216579097390788
276,"1",30,112,5,10,0.303964197970634
277,"1",38,140,6,12,0.343864420024517
278,"1",44,170,7,13,0.236764557436265
279,"1",60,214,7,14,0.197125926078537
280,"1",28,102,8,15,0.297081982797296
281,"1",16,64,3,6,0.627306085164117
282,"1",50,172,9,17,0.139680622170691
283,"1",52,174,9,17,0.287048638172743
284,"1",48,156,8,16,0.346267005858073
285,"1",50,168,9,17,0.333387940497808
286,"1",42,164,3,11,0.285878299716528
287,"1",43,166,4,10,0.149801583892697
288,"1",41,158,3,10,0.157108978228926
289,"1",39,160,6,12,0.24513535890443
290,"1",38,148,9,18,0.282304412478608
291,"1",62,208,13,25,0.114315295253873
292,"1",60,200,13,25,0.115746073363256
293,"1",96,218,19,37,0.108332116017482
294,"1",54,198,9,18,0.296585645463922
295,"1",124,278,16,31,0.0744758652167533
296,"1",126,282,17,32,0.0647953204343487
297,"1",122,298,15,29,0.0758230358742301
298,"1",24,102,4,7,0.487772550873158
299,"1",41,148,11,21,0.218989454691333
300,"1",49,186,8,16,0.218438509762349
301,"2",44,178,6,12,0.2014133050908
302,"2",42,168,6,12,0.212091313185468
303,"2",41,166,6,12,0.198912164465457
304,"2",42,164,6,12,0.182499226831368
305,"2",46,186,7,13,0.218903026941129
306,"2",55,196,8,16,0.179082279151083
307,"2",50,184,7,14,0.353044873619077
308,"2",42,164,6,12,0.182499226831367
309,"2",48,188,5,9,0.280632522161678
310,"2",51,198,7,13,0.218804366308857
311,"2",24,100,4,7,0.483464745782335
312,"2",51,178,6,8,0.323008531954317
313,"2",52,192,6,9,0.217672159739285
314,"2",22,76,5,9,0.519238653689652
315,"2",44,184,7,14,0.265312566167912
316,"2",44,180,7,14,0.262849374377325
317,"2",31,128,6,12,0.298066623667267
318,"2",27,106,6,11,0.276421242383046
319,"2",25,90,7,13,0.257021676213816
320,"2",38,106,9,17,0.181505909312653
321,"2",21,84,4,7,0.423953327010278
322,"2",29,114,6,11,0.391193458205606
323,"2",20,74,5,10,0.511319477718674
324,"2",21,74,6,11,0.366715329230923
325,"2",50,196,7,14,0.213995533942062
326,"2",46,192,6,11,0.356688406097694
327,"2",49,188,6,11,0.319487485558651
328,"2",27,98,7,14,0.376570757846067
329,"2",12,44,3,5,0.6806867854042
330,"2",14,52,3,5,0.452672376857207
331,"2",23,96,5,9,0.336697117288123
332,"2",24,102,5,9,0.336022401020433
333,"2",33,122,8,15,0.334223349750982
334,"2",27,102,6,12,0.261332105579364
335,"2",25,102,4,8,0.453082256963346
336,"2",28,104,6,12,0.358671370551909
337,"2",28,108,7,14,0.231189676736769
338,"2",12,44,3,5,0.483832335143273
339,"2",26,98,6,12,0.325649082481988
340,"2",28,98,5,10,0.243023540857578
341,"2",28,108,7,14,0.230340461280392
342,"2",26,98,6,11,0.371399789737322
343,"2",24,90,6,12,0.297065080336011
344,"2",23,78,7,13,0.291863114066114
345,"2",27,116,5,9,0.334757667702444
346,"2",39,134,11,22,0.167243380082086
347,"2",42,174,6,11,0.28149563964276
348,"2",42,170,5,10,0.287541179636319
349,"2",64,236,6,12,0.240540370873084
350,"2",38,142,4,7,0.35661326724223
351,"2",22,84,4,7,0.493463626429567
352,"2",9,16,3,6,0.523019275359104
353,"2",26,102,2,8,0.399551763598037
354,"2",19,84,2,4,0.582793683685164
355,"2",66,224,7,14,0.210379594788915
356,"2",27,112,1,8,0.213425292225173
357,"2",34,124,7,14,0.247807428523576
358,"2",28,112,5,9,0.424559908379442
359,"2",26,92,5,9,0.548528564268076
360,"2",26,108,4,8,0.393511517752209
361,"2",28,118,4,7,0.454496430738291
362,"2",19,82,3,6,0.603782489755166
363,"2",20,92,4,7,0.568241431105187
364,"2",20,98,3,5,0.699400707950348
365,"2",42,150,9,17,0.168076417122807
366,"2",42,152,9,17,0.207285685433827
367,"2",15,50,3,6,0.718193273668825
368,"2",11,38,2,4,0.676071556389603
369,"2",10,34,2,4,0.673963488799828
370,"2",12,48,2,4,0.597610012915812
371,"2",30,104,6,12,0.341600183805186
372,"2",15,52,3,5,0.575615618486977
373,"2",10,40,2,4,0.718734437627601
374,"2",18,68,4,7,0.416178916658533
375,"2",22,80,5,9,0.341642764003001
376,"2",12,44,3,5,0.734728972298869
377,"2",36,140,7,14,0.307149029860067
378,"2",30,102,6,12,0.315701595130945
379,"2",30,104,6,12,0.341600183805187
380,"2",36,122,4,8,0.200070412223097
381,"2",33,116,9,17,0.218593036338656
382,"2",48,188,6,12,0.25464973263717
383,"2",27,104,6,11,0.339798732292047
384,"2",27,108,5,10,0.344403104146655
385,"2",16,58,4,7,0.55816039466455
386,"2",7,28,1,2,0.744586214048238
387,"2",16,56,3,5,0.515810169771929
388,"2",35,128,6,12,0.296382017555001
389,"2",28,110,6,12,0.306853072473843
390,"2",40,162,9,17,0.257542313228835
391,"2",26,102,6,12,0.566606090054449
392,"2",48,178,8,15,0.247481329620423
393,"2",15,56,4,7,0.654143212156905
394,"2",11,44,2,4,0.633746577407391
395,"2",50,196,9,18,0.1799549110841
396,"2",18,70,3,5,0.487122719145042
397,"2",19,78,3,5,0.604975716409985
398,"2",14,46,3,6,0.626229705987348
399,"2",21,86,4,7,0.555580493863295
400,"2",37,116,5,9,0.244614376363597
401,"3",48,194,5,8,0.348166324680281
402,"3",25,102,5,9,0.366035794215279
403,"3",28,114,5,9,0.363633971671742
404,"3",33,112,8,15,0.404288218181509
405,"3",29,100,7,13,0.505800173808939
406,"3",33,128,7,14,0.252625577141439
407,"3",30,120,5,10,0.570277190622025
408,"3",33,132,6,12,0.232632628110153
409,"3",32,120,6,12,0.224490418628843
410,"3",28,124,5,10,0.400650554907839
411,"3",37,138,8,16,0.210591744581163
412,"3",36,136,8,15,0.39951242364303
413,"3",38,158,6,11,0.362575446858392
414,"3",37,146,7,13,0.267935230355062
415,"3",34,152,4,8,0.584576470990098
416,"3",24,92,4,8,0.330658847204559
417,"3",25,94,5,9,0.423366043024916
418,"3",41,152,11,22,0.188484728891613
419,"3",27,102,5,9,0.357561780484362
420,"3",26,94,5,9,0.308124958279268
421,"3",25,98,4,8,0.32551742142795
422,"3",27,114,4,7,0.500151414429353
423,"3",20,76,4,8,0.478247445210069
424,"3",40,132,5,10,0.352836625587633
425,"3",21,78,4,7,0.551580805816233
426,"3",19,66,2,4,0.327555981519332
427,"3",36,128,2,3,0.172876768024091
428,"3",32,114,6,11,0.251686914436801
429,"3",28,108,5,10,0.403386798747695
430,"3",37,114,6,12,0.225644534059123
431,"3",18,74,4,7,0.631451502288401
432,"3",19,78,4,8,0.577473932243671
433,"3",22,92,5,9,0.395143996730413
434,"3",43,140,7,14,0.296061712754025
435,"3",24,92,3,6,0.374926104587033
436,"3",15,66,2,4,0.690142774887085
437,"3",14,46,3,5,0.488913411396221
438,"3",48,198,4,7,0.264975028227978
439,"3",46,198,4,8,0.253948275889003
440,"3",26,100,4,7,0.404369262531525
441,"3",25,112,3,6,0.423677515452546
442,"3",44,190,5,7,0.282564346525812
443,"3",39,152,4,7,0.441849986539909
444,"3",39,158,4,7,0.367200912937958
445,"3",27,102,4,7,0.282164012552395
446,"3",26,116,4,7,0.454627622664469
447,"3",25,112,3,6,0.419267666708606
448,"3",39,146,4,7,0.389793470985607
449,"3",26,114,3,6,0.438166934233331
450,"3",26,116,3,6,0.41016968127445
451,"3",26,102,4,7,0.426795966108626
452,"3",34,108,6,12,0.268672583634551
453,"3",20,90,2,4,0.53633036571705
454,"3",20,78,4,7,0.369907607851226
455,"3",19,74,3,6,0.47522826362003
456,"3",18,68,3,6,0.617376326540314
457,"3",33,84,6,9,0.222830864342806
458,"3",15,58,3,5,0.538336738608147
459,"3",34,154,4,8,0.383610081025217
460,"3",28,130,3,5,0.551368650181644
461,"3",34,158,2,5,0.304110839125465
462,"3",15,60,3,5,0.652241887494807
463,"3",14,52,3,6,0.539048276961652
464,"3",20,90,2,4,0.53633036571705
465,"3",52,198,6,9,0.301002946723065
466,"3",20,76,4,8,0.438826568402015
467,"3",20,82,4,7,0.489823125712449
468,"3",20,74,4,8,0.430265144868238
469,"3",17,60,5,9,0.40073625106197
470,"3",12,48,2,4,0.599470370207629
471,"3",24,74,5,9,0.440478455005243
472,"3",46,186,2,4,0.172795540260279
473,"3",13,52,3,5,0.638867343638901
474,"3",24,90,4,7,0.436214088641717
475,"3",12,46,2,4,0.772490397418506
476,"3",12,48,3,6,0.524551098241147
477,"3",14,52,4,7,0.441380768770416
478,"3",20,76,4,7,0.431829873926899
479,"3",28,98,5,9,0.509765462151709
480,"3",24,76,5,9,0.446338950870882
481,"3",12,48,2,4,0.639497833171932
482,"3",26,88,5,9,0.356494463531316
483,"3",22,92,4,7,0.419050702748131
484,"3",60,160,7,13,0.159376712635276
485,"3",39,144,7,13,0.323989924494045
486,"3",26,102,5,9,0.299270070503754
487,"3",15,54,3,6,0.393915296062435
488,"3",25,84,7,14,0.241761679497708
489,"3",35,122,10,20,0.22227576044355
490,"3",35,134,8,16,0.274256674596022
491,"3",38,140,1,16,0.235220661578754
492,"3",38,158,7,13,0.331394841190494
493,"3",33,136,8,15,0.314621107576097
494,"3",32,122,8,16,0.252510351601633
495,"3",42,154,11,21,0.25498964218258
496,"3",42,152,11,22,0.252991732426373
497,"3",41,156,10,20,0.217529835489719
498,"3",40,144,11,21,0.21432342836641
499,"3",38,152,1,11,0.312058643079476
500,"3",43,196,6,12,0.494646186964837
501,"4",67,160,9,18,0.146310025650055
502,"4",36,146,8,16,0.286752206745445
503,"4",46,166,6,11,0.383727059248114
504,"4",66,240,9,18,0.249169002593149
505,"4",21,86,4,8,0.481330713270704
506,"4",22,98,4,7,0.596840088852119
507,"4",21,92,4,8,0.505856235726324
508,"4",21,96,3,6,0.5881032193569
509,"4",41,176,6,11,0.370433913984724
510,"4",29,130,4,7,0.339493463761583
511,"4",30,134,4,8,0.331659498810217
512,"4",30,136,4,8,0.344237697354828
513,"4",41,184,6,12,0.329902647309931
514,"4",37,176,5,10,0.336765613082045
515,"4",26,102,6,11,0.372157531873693
516,"4",37,142,9,18,0.25286671162769
517,"4",50,178,8,16,0.378206307216647
518,"4",27,112,5,10,0.376686854104924
519,"4",34,154,5,10,0.385968519598292
520,"4",32,148,5,10,0.378459534940933
521,"4",35,158,5,10,0.342286404673148
522,"4",37,164,5,10,0.349178386481693
523,"4",48,222,6,11,0.303938546932328
524,"4",41,148,11,21,0.149847437072676
525,"4",29,132,5,9,0.436267881940932
526,"4",58,220,7,13,0.299154217615183
527,"4",57,214,7,13,0.22989308609793
528,"4",21,106,3,5,0.685199343640346
529,"4",18,86,3,5,0.6021195653351
530,"4",42,166,6,12,0.410346955808437
531,"4",40,164,6,11,0.39174486489917
532,"4",74,240,7,12,0.251207269465229
533,"4",44,170,7,13,0.281755391467033
534,"4",44,198,6,11,0.341095772695001
535,"4",40,168,4,8,0.289464362042406
536,"4",44,184,6,11,0.35820073746719
537,"4",42,178,6,12,0.203877346158873
538,"4",43,176,7,13,0.26782420138291
539,"4",41,184,7,14,0.297033965621917
540,"4",49,184,9,17,0.227211701497932
541,"4",84,152,2,8,0.083401853897289
542,"4",44,202,6,11,0.316788903218089
543,"4",42,152,11,22,0.22847681014921
544,"4",41,158,10,20,0.201136477882407
545,"4",41,154,11,21,0.201097397550581
546,"4",44,164,11,21,0.188410969320353
547,"4",39,164,4,8,0.419922297873108
548,"4",25,90,7,14,0.279637865034786
549,"4",25,94,7,13,0.359080954401868
550,"4",26,90,8,15,0.238262248276861
551,"4",52,196,9,17,0.230206707911907
552,"4",41,172,3,7,0.262208130735468
553,"4",45,164,13,25,0.203309726314275
554,"4",31,128,5,9,0.345832320772932
555,"4",26,92,8,15,0.240071965635466
556,"4",26,96,7,14,0.304055208818038
557,"4",52,198,9,18,0.31584236565612
558,"4",50,186,8,16,0.14937108956237
559,"4",38,134,8,16,0.231151148482294
560,"4",37,134,8,16,0.25778568192612
561,"4",27,104,7,14,0.397912156332093
562,"4",29,110,7,14,0.314426562026633
563,"4",48,160,5,10,0.1906029629501
564,"4",40,148,8,15,0.265109338609528
565,"4",19,68,5,9,0.583137865542359
566,"4",14,66,2,4,0.724000097753466
567,"4",13,62,2,3,0.755610591580759
568,"4",13,68,2,3,0.781562093085519
569,"4",44,170,7,14,0.255348875807923
570,"4",45,156,8,15,0.218084585209957
571,"4",46,164,8,16,0.262338175262406
572,"4",47,158,8,16,0.340446866989883
573,"4",47,164,8,16,0.15434364800953
574,"4",42,180,6,11,0.392217139571236
575,"4",51,220,6,12,0.315338803277902
576,"4",27,102,6,12,0.264667713379522
577,"4",27,104,6,12,0.269654325849888
578,"4",60,206,8,16,0.21913560029973
579,"4",28,106,6,12,0.24631396345506
580,"4",38,150,6,12,0.196799745536945
581,"4",23,106,4,7,0.515291154458308
582,"4",18,74,4,7,0.558777810728957
583,"4",45,194,6,11,0.302910244671616
584,"4",21,90,5,9,0.492089051274865
585,"4",35,142,7,14,0.19866853850364
586,"4",24,102,5,9,0.520543367400317
587,"4",21,84,5,10,0.484419873022562
588,"4",21,84,4,8,0.533343448094942
589,"4",31,124,6,12,0.303820344912393
590,"4",27,112,5,10,0.553520258566686
591,"4",51,196,9,17,0.214677896696131
592,"4",36,156,5,10,0.325619373347226
593,"4",46,144,6,12,0.204242499237874
594,"4",52,228,7,13,0.189046040046804
595,"4",44,180,6,12,0.247583004498569
596,"4",45,182,7,14,0.231532333164449
597,"4",52,232,7,13,0.19557720654688
598,"4",55,200,8,15,0.190425073415355
599,"4",51,190,5,9,0.237840434031393
600,"4",48,156,5,8,0.282876745617429
